Occupation1,Total_Fatalities,Violence_and_other_injuries_by_persons_or_animals,Transportation_incidents,Fires_and_explosions,Falls_slips_trips,Exposure_to_harmful_substances_or_environments,Contact_with_objects_and_equipment
                    Electrical power-line installers and repairers,21,--,7,--,3,9,1
                    Telecommunications line installers and repairers,21,--,9,--,6,4,--
"               Maintenance and repair workers, general",75,6,16,3,34,9,7
"                    Maintenance and repair workers, general",75,6,16,3,34,9,7
"               Miscellaneous installation, maintenance, and repair workers",41,5,11,--,3,18,3
"                    Coin, vending, and amusement machine servicers and 
                        repairers",3,--,--,--,--,--,--
                    Commercial divers,9,--,--,--,--,9,--
                    Manufactured building and mobile home installers,3,--,--,--,--,--,--
                    Riggers,4,--,--,--,--,--,--
"                    Helpers--installation, maintenance, and repair workers",10,--,--,--,--,6,--
     Production occupations,216,36,26,14,38,30,71
          Supervisors of production workers,31,10,5,--,4,5,6
               First-line supervisors of production and operating workers,31,10,5,--,4,5,6
"                    First-line supervisors of production and operating 
                        workers",31,10,5,--,4,5,6
          Assemblers and fabricators,10,--,--,--,3,--,4
"               Electrical, electronics, and electromechanical assemblers",1,--,--,--,--,--,--
                    Electrical and electronic equipment assemblers,1,--,--,--,--,--,--
               Miscellaneous assemblers and fabricators,8,--,--,--,--,--,3
                    Team assemblers,3,--,--,--,--,--,--
          Food processing workers,15,4,3,--,3,--,3
               Bakers,3,--,--,--,--,--,--
                    Bakers,3,--,--,--,--,--,--
"               Butchers and other meat, poultry, and fish processing 
                   workers",9,3,3,--,--,--,--
"                    Meat, poultry, and fish cutters and trimmers",7,3,3,--,--,--,--
               Miscellaneous food processing workers,3,--,--,--,--,--,--
          Metal workers and plastic workers,78,6,4,6,15,10,36
"               Forming machine setters, operators, and tenders, metal and 
                   plastic",7,--,--,--,--,--,6
"                    Extruding and drawing machine setters, operators, and 
                        tenders, metal and plastic",1,--,--,--,--,--,--
"                    Rolling machine setters, operators, and tenders, metal 
                        and plastic",5,--,--,--,--,--,4
"               Machine tool cutting setters, operators, and tenders, metal 
                   and plastic",7,--,--,--,--,--,7
"                    Cutting, punching, and press machine setters, 
                        operators, and tenders, metal and plastic",5,--,--,--,--,--,5
               Machinists,6,--,--,1,--,--,3
                    Machinists,6,--,--,1,--,--,3
"               Metal furnace operators, tenders, pourers, and casters",1,--,--,--,--,--,--
"                    Pourers and casters, metal",1,--,--,--,--,--,--
"               Molders and molding machine setters, operators, and 
                   tenders, metal and plastic",4,--,--,--,--,--,3
"                    Molding, coremaking, and casting machine setters, 
                        operators, and tenders, metal and plastic",4,--,--,--,--,--,3
"               Welding, soldering, and brazing workers",40,4,3,5,11,5,12
"                    Welders, cutters, solderers, and brazers",39,4,3,5,10,5,12
               Miscellaneous metalworkers and plastic workers,11,--,--,--,3,--,3
"                    Plating and coating machine setters, operators, and 
                        tenders, metal and plastic",1,--,--,--,--,--,--
          Printing workers,5,--,--,--,--,--,--
               Printing workers,5,--,--,--,--,--,--
                    Printing press operators,4,--,--,--,--,--,--
"          Textile, apparel, and furnishings workers",6,--,--,--,--,2,--
               Laundry and dry-cleaning workers,3,--,--,--,--,2,--
                    Laundry and dry-cleaning workers,3,--,--,--,--,2,--
"               Miscellaneous textile, apparel, and furnishings workers",1,--,--,--,--,--,--
                    Upholsterers,1,--,--,--,--,--,--
          Woodworkers,11,--,--,--,--,--,6
               Furniture finishers,3,--,1,--,--,--,--
                    Furniture finishers,3,--,1,--,--,--,--
"               Woodworking machine setters, operators, and tenders",7,--,--,--,--,--,6
"                    Sawing machine setters, operators, and tenders, wood",5,--,--,--,--,--,4
          Plant and system operators,15,3,4,--,3,--,1
"               Power plant operators, distributors, and dispatchers",3,--,--,--,--,--,1
                    Power plant operators,3,--,--,--,--,--,1
               Water and wastewater treatment plant and system operators,5,--,1,--,--,--,--
"                    Water and wastewater treatment plant and system 
                        operators",5,--,1,--,--,--,--
               Miscellaneous plant and system operators,5,--,--,--,--,--,--
"                    Petroleum pump system operators, refinery operators, 
                        and gaugers",4,--,--,1,--,--,--
          Other production occupations,45,7,6,3,8,8,13
"               Crushing, grinding, polishing, mixing, and blending workers",5,--,1,--,--,--,3
"                    Mixing and blending machine setters, operators, and 
                        tenders",4,--,1,--,--,--,2
               Cutting workers,--,--,--,1,--,--,--
"                    Cutting and slicing machine setters, operators, and 
                        tenders",--,--,--,1,--,--,--
"               Extruding, forming, pressing, and compacting machine 
                   setters, operators, and tenders",3,1,--,--,--,--,--
"                    Extruding, forming, pressing, and compacting machine 
                        setters, operators, and tenders",3,1,--,--,--,--,--
"               Inspectors, testers, sorters, samplers, and weighers",9,--,3,--,--,1,--
"                    Inspectors, testers, sorters, samplers, and weighers",9,--,3,--,--,1,--
               Packaging and filling machine operators and tenders,3,--,--,--,--,--,--
                    Packaging and filling machine operators and tenders,3,--,--,--,--,--,--
               Painting workers,7,--,--,--,--,4,--
"                    Painters, transportation equipment",5,--,--,--,--,3,--
               Miscellaneous production workers,14,--,--,--,4,--,5
"                    Molders, shapers, and casters, except metal and plastic",3,--,--,--,--,--,--
"                    Paper goods machine setters, operators, and tenders",1,--,--,--,1,--,--
                    Helpers--production workers,3,--,--,--,--,--,--
     Transportation and material moving occupations,"1,388",88,996,14,85,65,139
"          Supervisors, transportation and material moving workers",27,8,8,--,6,--,4
               Aircraft cargo handling supervisors,2,1,--,--,1,--,--
                    Aircraft cargo handling supervisors,2,1,--,--,1,--,--
"               First-line supervisors of helpers, laborers, and material 
                   movers, hand",15,4,4,--,4,--,3
"                    First-line supervisors of helpers, laborers, and 
                        material movers, hand",15,4,4,--,4,--,3
"               First-line supervisors of transportation and 
                   material-moving machine and vehicle operators",10,3,4,--,1,--,--
"                    First-line supervisors of transportation and 
                        material-moving machine and vehicle operators",10,3,4,--,1,--,--
          Air transportation workers,75,--,75,--,--,--,--
               Aircraft pilots and flight engineers,75,--,75,--,--,--,--
"                    Airline pilots, copilots, and flight engineers",5,--,5,--,--,--,--
                    Commercial pilots,70,--,70,--,--,--,--
          Motor vehicle operators,"1,012",65,792,6,47,44,57
"               Ambulance drivers and attendants, except emergency medical 
                   technicians",1,--,1,--,--,--,--
"                    Ambulance drivers and attendants, except emergency 
                        medical technicians",1,--,1,--,--,--,--
               Bus drivers,21,--,17,--,--,--,--
"                    Bus drivers, transit and intercity",11,--,8,--,--,--,--
"                    Bus drivers, school or special client",10,--,9,--,--,--,--
               Driver/sales workers and truck drivers,918,39,734,6,46,40,53
                    Driver/sales workers,71,14,53,--,--,--,3
                    Heavy and tractor-trailer truck drivers,786,23,632,6,41,38,46
                    Light truck or delivery services drivers,61,--,49,--,4,--,4
               Taxi drivers and chauffeurs,60,26,30,--,--,--,--
                    Taxi drivers and chauffeurs,60,26,30,--,--,--,--
               Miscellaneous motor vehicle operators,12,--,10,--,--,--,--
          Rail transportation workers,13,--,10,--,--,--,--
               Locomotive engineers and operators,5,--,4,--,--,--,--
                    Locomotive engineers,4,--,3,--,--,--,--
"                    Rail yard engineers, dinkey operators, and hostlers",1,--,--,--,--,--,--
               Railroad conductors and yardmasters,6,--,5,--,1,--,--
                    Railroad conductors and yardmasters,6,--,5,--,1,--,--
          Water transportation workers,22,5,14,--,--,--,--
               Sailors and marine oilers,15,4,9,--,--,--,--
                    Sailors and marine oilers,15,4,9,--,--,--,--
               Ship and boat captains and operators,4,--,3,--,--,--,--
"                    Captains, mates, and pilots of water vessels",4,--,3,--,--,--,--
               Ship engineers,3,--,2,--,--,--,--
                    Ship engineers,3,--,2,--,--,--,--
          Other transportation workers,11,3,8,--,--,--,--
               Transportation inspectors,1,--,1,--,--,--,--
                    Transportation inspectors,1,--,1,--,--,--,--
               Miscellaneous transportation workers,4,--,4,--,--,--,--
          Material moving workers,228,7,89,8,28,19,77
               Conveyor operators and tenders,5,--,--,2,--,--,3
                    Conveyor operators and tenders,5,--,--,2,--,--,3
               Crane and tower operators,16,--,2,--,--,--,11
                    Crane and tower operators,16,--,2,--,--,--,11
"               Dredge, excavating, and loading machine operators",20,--,15,--,--,--,5
                    Excavating and loading machine and dragline operators,20,--,15,--,--,--,5
               Industrial truck and tractor operators,37,1,17,--,3,1,15
                    Industrial truck and tractor operators,37,1,17,--,3,1,15
"               Laborers and material movers, hand",111,6,31,5,21,14,34
                    Cleaners of vehicles and equipment,17,4,--,1,--,4,4
"                    Laborers and freight, stock, and material movers, hand",92,--,27,4,19,10,30
                    Machine feeders and offbearers,1,--,1,--,--,--,--
               Pumping station operators,4,--,--,1,--,--,--
"                    Pump operators, except wellhead pumpers",4,--,--,1,--,--,--
               Refuse and recyclable material collectors,31,--,21,--,--,--,7
                    Refuse and recyclable material collectors,31,--,21,--,--,--,7
               Mine shuttle car operators,1,--,1,--,--,--,--
                    Mine shuttle car operators,1,--,1,--,--,--,--
     Military specific occupations5,62,18,34,--,--,8,--
"
1 CFOI has used several versions of the Standard Occupation Classification (SOC) system since 2003 to define occupation. For more information on the version of SOC used in this year, see our definitions page at http://www.bls.gov/iif/oshcfdef.htm.
 
2 Based on the BLS Occupational Injury and Illness Classification System (OIICS) 2.01 implemented for 2011 data forward.
 
3 Includes violence by persons, self-inflicted injury, and attacks by animals.
 
4 Includes roadway, nonroadway, air, water, rail fatal occupational injuries, and fatal occupational injuries resulting from being struck by a vehicle.
 
5 Includes fatal injuries to persons identified as resident armed forces regardless of individual occupation listed.
 
Note: Data for all years are revised and final. Totals for major categories may include subcategories not shown separately. Dashes indicate no data reported or data that do not meet publication criteria. CFOI fatal injury counts exclude illness-related deaths unless precipitated by an injury event.
Source: U.S. Department of Labor, Bureau of Labor Statistics, in cooperation with state, New York City, District of Columbia, and federal agencies, Census of Fatal Occupational Injuries, December 11, 2017",,,,,,,
